MRGID,GEONAME,aphiaid,worms_name,GROUP,n_current,n_RCP45_2050,n_RCP45_2100,n_RCP85_2050,n_RCP85_2100,sciname,iucn_sid,iucn_category,iucn_category_code,pop_trend_desc,pop_trend_code
8403,Ecuadorian Exclusive Economic Zone (Galapagos),1006832,ginglymostoma unami,FISH,870,848,1011,888,740,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8423,Panamanian Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,1595,1486,1457,1473,1421,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8424,Costa Rican Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,809,729,709,722,688,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8425,Nicaraguan Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,848,798,793,796,782,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8426,Colombian Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,988,905,885,898,865,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8427,Honduran Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,23,23,23,23,23,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8428,Salvadoran Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,721,692,685,692,679,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8429,Mexican Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,10186,9684,9589,9623,9491,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8430,Guatemalan Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,572,539,538,539,527,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8431,Ecuadorian Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,1194,1225,1227,1135,1215,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
8432,Peruvian Exclusive Economic Zone,1006832,ginglymostoma unami,FISH,4182,4417,4177,4075,4080,ginglymostoma unami,144151831,Endangered,EN,Decreasing,1
