aphiaid,current_area_km2,scenario,scenario_area_km2,area_change
1006797,457017.77754330845,RCP45_2050,465672.6773480048,expansion
1006797,457017.77754330845,RCP45_2100,475544.2659836063,expansion
1006797,457017.77754330845,RCP85_2050,476761.9252632926,expansion
1006797,457017.77754330845,RCP85_2100,502434.0373105851,expansion
1006832,714939.322467937,RCP45_2050,697786.7310856186,contraction
1006832,714939.322467937,RCP45_2100,692527.972786376,contraction
1006832,714939.322467937,RCP85_2050,682534.0143242129,contraction
1006832,714939.322467937,RCP85_2100,674628.1957891535,contraction
101172,809337.3680657726,RCP45_2050,1015738.5163097626,expansion
101172,809337.3680657726,RCP45_2100,1046292.453250601,expansion
101172,809337.3680657726,RCP85_2050,1011430.5123985391,expansion
101172,809337.3680657726,RCP85_2100,1102361.704542099,expansion
1011795,700835.4389481936,RCP45_2050,707438.3885660019,expansion
1011795,700835.4389481936,RCP45_2100,730341.7664127857,expansion
1011795,700835.4389481936,RCP85_2050,717165.4703746618,expansion
1011795,700835.4389481936,RCP85_2100,757055.5750816845,expansion
1012968,746440.5329443382,RCP45_2050,643725.1095419186,contraction
1012968,746440.5329443382,RCP45_2100,630921.3145576953,contraction
1012968,746440.5329443382,RCP85_2050,655054.2946097504,contraction
1012968,746440.5329443382,RCP85_2100,689544.5159671609,contraction
1013687,1933081.6041050546,RCP45_2050,1895019.2596497124,contraction
1013687,1933081.6041050546,RCP45_2100,1882987.8080571573,contraction
1013687,1933081.6041050546,RCP85_2050,1906976.3414596475,contraction
1013687,1933081.6041050546,RCP85_2100,1957028.4376740055,expansion
1014949,355384.8570905134,RCP45_2050,219492.49932675163,contraction
1014949,355384.8570905134,RCP45_2100,148498.10038923498,contraction
1014949,355384.8570905134,RCP85_2050,177328.19878798907,contraction
1014949,355384.8570905134,RCP85_2100,85866.69420754974,contraction
1015739,1671657.7303641783,RCP45_2050,1672729.2783878017,expansion
1015739,1671657.7303641783,RCP45_2100,1738761.556738213,expansion
1015739,1671657.7303641783,RCP85_2050,1676076.5964526155,expansion
1015739,1671657.7303641783,RCP85_2100,1742986.0781425731,expansion
1016062,2592355.543225241,RCP45_2050,3047571.10071033,expansion
1016062,2592355.543225241,RCP45_2100,3199461.8471709243,expansion
1016062,2592355.543225241,RCP85_2050,3035389.0398652996,expansion
1016062,2592355.543225241,RCP85_2100,3195208.6359491884,expansion
1016263,105947.26313149682,RCP45_2050,65504.617153697,contraction
1016263,105947.26313149682,RCP45_2100,63589.4984448419,contraction
1016263,105947.26313149682,RCP85_2050,65138.940062420035,contraction
1016263,105947.26313149682,RCP85_2100,58221.08642408867,contraction
1016293,401035.33234012476,RCP45_2050,409059.01191022,expansion
1016293,401035.33234012476,RCP45_2100,416151.2613912734,expansion
1016293,401035.33234012476,RCP85_2050,410541.80176552286,expansion
1016293,401035.33234012476,RCP85_2100,422905.9428807751,expansion
1016599,120885.17436193374,RCP45_2050,120807.93458265373,contraction
1016599,120885.17436193374,RCP45_2100,123520.19006007285,expansion
1016599,120885.17436193374,RCP85_2050,121501.82143380078,expansion
1016599,120885.17436193374,RCP85_2100,129623.82344888014,expansion
1017389,996416.2599226064,RCP45_2050,928962.2937006544,contraction
1017389,996416.2599226064,RCP45_2100,894929.5885454386,contraction
1017389,996416.2599226064,RCP85_2050,902281.1564157413,contraction
1017389,996416.2599226064,RCP85_2100,839368.088208068,contraction
1018707,3539492.5529347914,RCP45_2050,3072537.55764894,contraction
1018707,3539492.5529347914,RCP45_2100,2707930.3864992936,contraction
1018707,3539492.5529347914,RCP85_2050,2908951.060544634,contraction
1018707,3539492.5529347914,RCP85_2100,2255048.8045652453,contraction
1019871,142157.11436438203,RCP45_2050,129398.80328147998,contraction
1019871,142157.11436438203,RCP45_2100,125248.23690783945,contraction
1019871,142157.11436438203,RCP85_2050,126996.75262370429,contraction
1019871,142157.11436438203,RCP85_2100,143488.87903345848,expansion
1019891,6758390.81719517,RCP45_2050,6696811.692137557,contraction
1019891,6758390.81719517,RCP45_2100,6565938.156552286,contraction
1019891,6758390.81719517,RCP85_2050,6695799.065719355,contraction
1019891,6758390.81719517,RCP85_2100,6503628.229968639,contraction
1021742,3504210.9787068316,RCP45_2050,3442152.2351822453,contraction
1021742,3504210.9787068316,RCP45_2100,3423805.079402545,contraction
1021742,3504210.9787068316,RCP85_2050,3434144.0911304173,contraction
