iucn_sid,sciname,worms_name,mapped,assessment_id,scientific_name,iucn_category,iucn_category_code,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,subpopulation_name,infra_name,species,subpopulation,infrarank,pop_trend_desc,pop_trend_code
222,acipenser brevirostrum,acipenser brevirostrum,FALSE,97439806,Acipenser brevirostrum,Vulnerable,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,brevirostrum,NA,NA,TRUE,FALSE,FALSE,Stable,2
224,acipenser naccarii,acipenser naccarii,FALSE,135061929,Acipenser naccarii,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,naccarii,NA,NA,TRUE,FALSE,FALSE,Increasing,0
225,acipenser nudiventris,acipenser nudiventris,FALSE,227579266,Acipenser nudiventris,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,nudiventris,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
229,acipenser stellatus,acipenser stellatus,FALSE,135062806,Acipenser stellatus,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,stellatus,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
230,acipenser sturio,acipenser sturio,FALSE,242530547,Acipenser sturio,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,sturio,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
232,acipenser gueldenstaedtii,acipenser gueldenstaedtii,FALSE,135063140,Acipenser gueldenstaedtii,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,gueldenstaedtii,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
233,acipenser medirostris,acipenser medirostris,FALSE,97433481,Acipenser medirostris,Endangered,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,medirostris,NA,NA,TRUE,FALSE,FALSE,Unknown,3
234,acipenser transmontanus,acipenser transmontanus,FALSE,97440736,Acipenser transmontanus,Vulnerable,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,transmontanus,NA,NA,TRUE,FALSE,FALSE,Stable,2
235,acipenser persicus,acipenser persicus,FALSE,135063465,Acipenser persicus,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,persicus,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
236,acipenser sinensis,acipenser sinensis,FALSE,219152605,Acipenser sinensis,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,sinensis,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
241,acipenser mikadoi,acipenser mikadoi,FALSE,227578157,Acipenser mikadoi,Critically Endangered,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,mikadoi,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
242,acipenser oxyrinchus,acipenser oxyrinchus,FALSE,50119604,Acipenser oxyrinchus ssp. desotoi,Endangered,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,oxyrinchus,NA,desotoi,FALSE,FALSE,TRUE,Decreasing,1
243,acipenser oxyrinchus,acipenser oxyrinchus,FALSE,95763750,Acipenser oxyrinchus ssp. oxyrinchus,Vulnerable,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,oxyrinchus,NA,oxyrinchus,FALSE,FALSE,TRUE,Increasing,0
245,acipenser oxyrinchus,acipenser oxyrinchus,FALSE,2785934,Acipenser oxyrinchus,Vulnerable,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,oxyrinchus,NA,NA,TRUE,FALSE,FALSE,Increasing,0
678,agathothoma finalis,agathotoma finalis,FALSE,13067743,Agathothoma finalis,Data Deficient,DD,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,TURRIDAE,Agathothoma,finalis,NA,NA,TRUE,FALSE,FALSE,NA,NA
907,alosa immaculata,alosa immaculata,TRUE,102877816,Alosa immaculata,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Alosa,immaculata,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
908,alosa alabamae,alosa alabamae,TRUE,3149565,Alosa alabamae,Near Threatened,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Alosa,alabamae,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
1086,amblyrhynchus cristatus,amblyrhynchus cristatus,TRUE,177552193,Amblyrhynchus cristatus,Vulnerable,VU,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE,Amblyrhynchus,cristatus,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
1308,anisotremus moricandi,anisotremus moricandi,FALSE,115056181,Anisotremus moricandi,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Anisotremus,moricandi,NA,NA,TRUE,FALSE,FALSE,Unknown,3
