species,group,taxon,AphiaID
parasesarma plicatum,ARTHROPODA,crustacea_arthropods,207569
hexaplex trunculus,MOLLUSCA,molluscs,140396
calathura brachiata,ARTHROPODA,crustacea_arthropods,118497
conus neptunus,MOLLUSCA,molluscs,428217
montipora foveolata,CNIDARIA,corals,207133
eunicea knighti,CNIDARIA,corals,283249
neoferdina cumingi,ECHINODERMATA,echinoderms,368977
aglaophamus dibranchis,ANNELIDA,polychaetes,332892
conus lamberti,MOLLUSCA,molluscs,428174
conus australis,MOLLUSCA,molluscs,430463
penaeus schmitti,ARTHROPODA,crustacea_arthropods,582132
maretia planulata,ECHINODERMATA,echinoderms,214465
amphioctopus fangsiao,MOLLUSCA,cephalopods,534733
drilliola loprestiana,MOLLUSCA,molluscs,183133
minuca rapax,ARTHROPODA,crustacea_arthropods,955271
dispio uncinata,ANNELIDA,polychaetes,131125
niphates digitalis,PORIFERA,sponges,166775
mauritia maculifera,MOLLUSCA,molluscs,390564
conus pica,MOLLUSCA,molluscs,429900
spirastrella coccinea,PORIFERA,sponges,170705
enallopsammia rostrata,CNIDARIA,corals,135190
salvatoria clavata,ANNELIDA,polychaetes,195986
leptotrophon spinacutus,MOLLUSCA,molluscs,399191
gyroscala rupicola,MOLLUSCA,molluscs,524035
cerithium nesioticum,MOLLUSCA,molluscs,139061
cliona viridis,PORIFERA,sponges,134146
omalacantha bicornuta,ARTHROPODA,crustacea_arthropods,878753
ophiocoma erinaceus,ECHINODERMATA,echinoderms,212371
carinodrillia braziliensis,MOLLUSCA,molluscs,433195
ophiopholis japonica,ECHINODERMATA,echinoderms,243915
conus wallangra,MOLLUSCA,molluscs,430441
mastobranchus variabilis,ANNELIDA,polychaetes,329276
ophiarachnella gorgonia,ECHINODERMATA,echinoderms,213218
buccinum cyaneum,MOLLUSCA,molluscs,138862
anoplodactylus maritimus,ARTHROPODA,crustacea_arthropods,134719
matuta victor,ARTHROPODA,crustacea_arthropods,440354
cadlina sparsa,MOLLUSCA,molluscs,430397
sarcotragus foetidus,PORIFERA,sponges,132371
dasmosmilia lymani,CNIDARIA,corals,135152
terebra jenningsi,MOLLUSCA,molluscs,447531
anacropora reticulata,CNIDARIA,corals,289243
callinectes danae,ARTHROPODA,crustacea_arthropods,107378
tanystylum styligerum,ARTHROPODA,crustacea_arthropods,172996
oratosquilla oratoria,ARTHROPODA,crustacea_arthropods,395015
penaeus notialis,ARTHROPODA,crustacea_arthropods,246184
brissopsis luzonica,ECHINODERMATA,echinoderms,513147
anthopleura ballii,CNIDARIA,corals,100809
acantharctus posteli,ARTHROPODA,crustacea_arthropods,382932
leptychaster anomalus,ECHINODERMATA,echinoderms,368318
bullina lineata,MOLLUSCA,molluscs,212841
eudolium crosseanum,MOLLUSCA,molluscs,160308
galaxea cryptoramosa,CNIDARIA,corals,288115
tivela mactroides,MOLLUSCA,molluscs,420964
conus canonicus,MOLLUSCA,molluscs,215546
alpheus pacificus,ARTHROPODA,crustacea_arthropods,210536
acanthogorgia aspera,CNIDARIA,corals,177735
vexillum millecostatum,MOLLUSCA,molluscs,758848
pterynotus elongatus,MOLLUSCA,molluscs,406217
ophiurochaeta littoralis,ECHINODERMATA,echinoderms,244326
narcissia trigonaria,ECHINODERMATA,echinoderms,124097
strigatella coronata,MOLLUSCA,molluscs,1060913
ophiura albida,ECHINODERMATA,echinoderms,124913
conus vittatus,MOLLUSCA,molluscs,428407
notaulax occidentalis,ANNELIDA,polychaetes,421079
montipora pachytuberculata,CNIDARIA,corals,287721
acropora lovelli,CNIDARIA,corals,740834
cuspidaria media,MOLLUSCA,molluscs,156770
vexillum semifasciatum,MOLLUSCA,molluscs,596866
zafra hervieri,MOLLUSCA,molluscs,511614
callidactylus asper,ARTHROPODA,crustacea_arthropods,421927
parapenaeus murrayi,ARTHROPODA,crustacea_arthropods,210403
astropecten spinulosus,ECHINODERMATA,echinoderms,123878
peristernia ustulata,MOLLUSCA,molluscs,448487
leptograpsus variegatus,ARTHROPODA,crustacea_arthropods,444462
bathyarctus faxoni,ARTHROPODA,crustacea_arthropods,382935
neodrillia cydia,MOLLUSCA,molluscs,434464
solenosmilia variabilis,CNIDARIA,corals,135168
cucumaria frondosa,ECHINODERMATA,echinoderms,124612
conasprella emarginata,MOLLUSCA,molluscs,835894
conasprella alisi,MOLLUSCA,molluscs,834380
aplysina cauliformis,PORIFERA,sponges,169642
conus mitratus,MOLLUSCA,molluscs,215467
marginellopsis serrei,MOLLUSCA,molluscs,550138
scyllarus caparti,ARTHROPODA,crustacea_arthropods,107710
luidia clathrata,ECHINODERMATA,echinoderms,158497
crepidula protea,MOLLUSCA,molluscs,532686
ophiolepis paucispina,ECHINODERMATA,echinoderms,124887
cylichna verrillii,MOLLUSCA,molluscs,420537
stenopus spinosus,ARTHROPODA,crustacea_arthropods,107721
nymphon sluiteri,ARTHROPODA,crustacea_arthropods,134708
psolus squamatus,ECHINODERMATA,echinoderms,124713
conus caracteristicus,MOLLUSCA,molluscs,426443
willemoesia leptodactyla,ARTHROPODA,crustacea_arthropods,107702
benthonellania acuticostata,MOLLUSCA,molluscs,419619
architectonica trochlearis,MOLLUSCA,molluscs,585867
madracis asanoi,CNIDARIA,corals,287104
arete indicus,ARTHROPODA,crustacea_arthropods,221011
babelomurex wormaldi,MOLLUSCA,molluscs,550021
amphiglena mediterranea,ANNELIDA,polychaetes,130869
gymnolophus obscura,ECHINODERMATA,echinoderms,243265
onchidoris muricata,MOLLUSCA,molluscs,140640
conus helgae,MOLLUSCA,molluscs,428149
notocochlis gualteriana,MOLLUSCA,molluscs,370551
urticina felina,CNIDARIA,corals,100834
euphyllia paraglabrescens,CNIDARIA,corals,289218
conus luteus,MOLLUSCA,molluscs,428195
conus cingulatus,MOLLUSCA,molluscs,577315
syllis alternata,ANNELIDA,polychaetes,131413
conus mucronatus,MOLLUSCA,molluscs,215448
bathypallenopsis longirostris,ARTHROPODA,crustacea_arthropods,239916
hastula strigilata,MOLLUSCA,molluscs,217086
