species,taxon,am_mapped,mob,trp,len,wcol
aaptos aaptos,sponges,TRUE,ses,pri,vsm,ben
aaptos bergmanni,sponges,TRUE,ses,pri,sm,ben
aaptos duchassaingi,sponges,TRUE,ses,pri,vsm,ben
aaptos pernucleata,sponges,TRUE,ses,pri,vsm,ben
aaptos suberitoides,sponges,TRUE,ses,pri,vsm,ben
aatolana schioedtei,crustacea_arthropods,TRUE,mob,ter,vsm,ben
abalistes filamentosus,fish,TRUE,mob,ter,ml,pel
abalistes stellaris,fish,TRUE,mob,ter,lg,ben
abalistes stellatus,fish,TRUE,mob,ter,lg,rf
abdopus aculeatus,cephalopods,TRUE,mob,ter,ml,rf
abdopus horridus,cephalopods,TRUE,mob,ter,sm,ben
ablabys taenianotus,fish,TRUE,mob,ter,sm,bp
ablennes hians,fish,TRUE,mob,apex,vlg,rf
abudefduf abdominalis,fish,TRUE,mob,ter,med,rf
abudefduf bengalensis,fish,TRUE,mob,ter,med,rf
abudefduf concolor,fish,TRUE,mob,sec,med,rf
abudefduf declivifrons,fish,TRUE,mob,sec,med,rf
abudefduf lorenzi,fish,TRUE,mob,sec,med,rf
abudefduf notatus,fish,TRUE,mob,sec,med,rf
abudefduf saxatilis,fish,TRUE,mob,sec,sm,rf
abudefduf septemfasciatus,fish,TRUE,mob,ter,med,rf
abudefduf sexfasciatus,fish,TRUE,mob,sec,med,rf
abudefduf sordidus,fish,TRUE,sed,ter,med,rf
abudefduf sparoides,fish,TRUE,mob,ter,sm,rf
abudefduf taurus,fish,TRUE,sed,sec,med,rf
abudefduf troschelii,fish,TRUE,mob,sec,med,rf
abudefduf vaigiensis,fish,TRUE,mob,ter,med,rf
abudefduf whitleyi,fish,TRUE,mob,sec,med,rf
abyssobrotula galatheae,fish,TRUE,sed,ter,med,pel
abyssorchomene nodimanus,crustacea_arthropods,TRUE,mob,ter,tiny,bp
acanthacaris caeca,crustacea_arthropods,TRUE,mig,ter,ml,ben
acanthacaris tenuimana,crustacea_arthropods,TRUE,mig,ter,ml,ben
acanthaluteres brownii,fish,TRUE,mob,pri,lg,rf
acanthaluteres spilomelanurus,fish,TRUE,mob,pri,sm,ben
acanthaluteres vittiger,fish,TRUE,mob,pri,ml,ben
acanthanectes hystrix,fish,FALSE,sed,ter,vsm,ben
acanthanectes rufus,fish,FALSE,sed,ter,vsm,rf
acanthaphritis barbata,fish,TRUE,mob,ter,sm,ben
acanthaphritis grandisquamis,fish,TRUE,mob,ter,sm,ben
acantharctus delfini,crustacea_arthropods,FALSE,mig,ter,tiny,ben
acantharctus ornatus,crustacea_arthropods,TRUE,mig,ter,tiny,ben
acantharctus posteli,crustacea_arthropods,FALSE,mig,ter,tiny,ben
acanthaster planci,echinoderms,TRUE,mob,ter,ml,rf
acanthastrea brevis,corals,TRUE,ses,sec,med,rf
